checkpoint,episodes,success_rate,collision_rate,timeout_rate,unstable_rate,out_of_bounds_rate,mean_terminal_goal_distance,mean_terminal_speed,mean_terminal_obstacle_clearance,mean_terminal_x,mean_terminal_y,mean_episode_return,mean_episode_length,mean_path_length,mean_min_goal_distance,mean_goal_distance,mean_speed,mean_min_obstacle_clearance,mean_max_speed,success_mean_max_speed,collision_mean_max_speed,success_mean_min_obstacle_clearance,collision_mean_min_obstacle_clearance,success_mean_episode_length,collision_mean_episode_length,collision_mean_terminal_x,collision_mean_terminal_y,termination_counts
2450,10,1.0,0.0,0.0,0.0,0.0,0.4130929410457611,0.09306861460208893,0.6187095642089844,8.381290435791016,7.841055393218994,96.85649271310103,641.0,14.195053447743703,0.4130929410457611,5.6090324730285435,0.5543233493805024,0.44343090057373047,1.1407405138015747,1.1407405138015747,nan,0.44343090057373047,nan,641.0,nan,nan,nan,"{""success"": 10, ""collision"": 0, ""timeout"": 0, ""unstable"": 0, ""out_of_bounds"": 0}"
2500,10,0.0,1.0,0.0,0.0,0.0,3.0887644290924072,0.14485123753547668,0.3999943137168884,7.398889541625977,4.970291614532471,9.97667285730131,525.0,10.470019879940082,3.0887644290924072,6.495472929364159,0.4993954272430745,0.3999943137168884,1.154248833656311,nan,1.154248833656311,nan,0.3999943137168884,nan,525.0,7.398889541625977,4.970291614532471,"{""success"": 0, ""collision"": 10, ""timeout"": 0, ""unstable"": 0, ""out_of_bounds"": 0}"
2550,10,0.0,1.0,0.0,0.0,0.0,2.8908400535583496,0.044739507138729095,0.39978647232055664,7.399786472320557,5.17215633392334,12.527670104689605,683.0,13.079780447980738,1.9667572975158691,5.490650527124698,0.4785224469402453,0.39978647232055664,1.1653072834014893,nan,1.1653072834014893,nan,0.39978647232055664,nan,683.0,7.399786472320557,5.17215633392334,"{""success"": 0, ""collision"": 10, ""timeout"": 0, ""unstable"": 0, ""out_of_bounds"": 0}"
2600,10,0.0,1.0,0.0,0.0,0.0,2.4944303035736084,0.5251864790916443,0.3998870849609375,8.600112915039062,5.57883358001709,12.165238533823867,978.0,17.54828426088352,1.3656872510910034,4.680948003547568,0.4487865083343358,0.3998870849609375,1.151397705078125,nan,1.151397705078125,nan,0.3998870849609375,nan,978.0,8.600112915039062,5.57883358001709,"{""success"": 0, ""collision"": 10, ""timeout"": 0, ""unstable"": 0, ""out_of_bounds"": 0}"
2650,10,0.0,1.0,0.0,0.0,0.0,3.8297908306121826,0.34832948446273804,0.39990663528442383,6.237067222595215,4.600093364715576,9.971151249599643,309.0,8.604161610684969,3.8297908306121826,8.289644043036649,0.6973920269917492,0.39990663528442383,1.1475805044174194,nan,1.1475805044174194,nan,0.39990663528442383,nan,309.0,6.237067222595215,4.600093364715576,"{""success"": 0, ""collision"": 10, ""timeout"": 0, ""unstable"": 0, ""out_of_bounds"": 0}"
2700,10,1.0,0.0,0.0,0.0,0.0,0.4443177580833435,0.0962512195110321,0.6661205291748047,8.333879470825195,7.7068400382995605,97.3130213029508,663.0,14.281548635917716,0.4443177580833435,5.518840968024497,0.539865801065913,0.5229306221008301,1.1300076246261597,1.1300076246261597,nan,0.5229306221008301,nan,663.0,nan,nan,nan,"{""success"": 10, ""collision"": 0, ""timeout"": 0, ""unstable"": 0, ""out_of_bounds"": 0}"
2750,10,0.0,1.0,0.0,0.0,0.0,3.8707754611968994,0.4629688262939453,0.3998842239379883,6.1496782302856445,4.600115776062012,9.737502307427349,319.0,8.674713209042238,3.8707754611968994,8.191139993996456,0.6807645715197964,0.3998842239379883,1.138597011566162,nan,1.138597011566162,nan,0.3998842239379883,nan,319.0,6.1496782302856445,4.600115776062012,"{""success"": 0, ""collision"": 10, ""timeout"": 0, ""unstable"": 0, ""out_of_bounds"": 0}"
2800,10,0.0,1.0,0.0,0.0,0.0,4.249231338500977,0.17822274565696716,0.39999961853027344,8.600000381469727,3.793342351913452,4.365101424409659,1494.0,22.30870270806554,1.9774917364120483,4.381863004631467,0.37407186917927604,0.39999961853027344,1.139143943786621,nan,1.139143943786621,nan,0.39999961853027344,nan,1494.0,8.600000381469727,3.793342351913452,"{""success"": 0, ""collision"": 10, ""timeout"": 0, ""unstable"": 0, ""out_of_bounds"": 0}"
2850,10,0.0,1.0,0.0,0.0,0.0,2.8099634647369385,0.5647813677787781,0.3999462127685547,8.600053787231445,5.254853248596191,12.042385857188492,531.0,12.029375469821389,2.8099634647369385,6.573889725625852,0.5669187647987705,0.3999462127685547,1.1163560152053833,nan,1.1163560152053833,nan,0.3999462127685547,nan,531.0,8.600053787231445,5.254853248596191,"{""success"": 0, ""collision"": 10, ""timeout"": 0, ""unstable"": 0, ""out_of_bounds"": 0}"
2900,10,0.0,1.0,0.0,0.0,0.0,3.3671581745147705,0.3926614224910736,0.3999929428100586,8.600007057189941,4.686731815338135,10.685919963085325,522.0,11.507635833797394,3.3671581745147705,6.516364921098469,0.5517742945852786,0.3999929428100586,1.1129448413848877,nan,1.1129448413848877,nan,0.3999929428100586,nan,522.0,8.600007057189941,4.686731815338135,"{""success"": 0, ""collision"": 10, ""timeout"": 0, ""unstable"": 0, ""out_of_bounds"": 0}"
